filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0330-supine.mha,5,156.86587524414062,97.06463022508038,311000,22.89104652404785,56.961483001708984,1.7941168546676636,0.3999488651752472,0.9330400824546814
colon_0330-supine.mha,6,252.28952026367188,83.33333333333334,6,22.89104652404785,153.95802307128906,1.7941168546676636,8.343386980413925e-06,0.9330400824546814
colon_0330-supine.mha,7,249.1675262451172,100.0,3,22.89104652404785,151.35775756835938,1.7941168546676636,5.00604483022471e-06,0.9330400824546814
colon_0330-supine.mha,8,245.1661834716797,100.0,5,22.89104652404785,149.0734100341797,1.7941168546676636,8.343394256371539e-06,0.9330400824546814
colon_0330-supine.mha,9,268.75640869140625,100.0,4,22.89104652404785,167.50375366210938,1.7941168546676636,6.6747206801665016e-06,0.9330400824546814
colon_0330-supine.mha,10,250.115966796875,100.0,2,22.89104652404785,155.01742553710938,1.7941168546676636,3.337366024425137e-06,0.9330400824546814
colon_0330-supine.mha,11,262.32318115234375,100.0,2,22.89104652404785,163.3203887939453,1.7941168546676636,3.337366024425137e-06,0.9330400824546814
colon_0330-supine.mha,12,264.0208435058594,100.0,1,22.89104652404785,164.50067138671875,1.7941168546676636,1.668684376454621e-06,0.9330400824546814
colon_0330-supine.mha,13,259.28643798828125,100.0,1,22.89104652404785,161.47352600097656,1.7941168546676636,1.668684376454621e-06,0.9330400824546814
colon_0330-supine.mha,14,252.73306274414062,61.261261261261254,222,22.89104652404785,151.85516357421875,1.7941168546676636,0.00022689923935104162,0.9330400824546814
colon_0330-supine.mha,15,262.18505859375,0.0,1,22.89104652404785,165.52223205566406,1.7941168546676636,0.0,0.9330400824546814
colon_0330-supine.mha,16,254.98626708984375,0.0,1,22.89104652404785,157.9754638671875,1.7941168546676636,0.0,0.9330400824546814
colon_0330-supine.mha,17,176.0978546142578,93.78531073446328,1062,22.89104652404785,102.8892822265625,1.7941168546676636,0.0016605396522209048,0.9330400824546814
colon_0330-supine.mha,18,198.16407775878906,65.18518518518519,135,22.89104652404785,113.39751434326172,1.7941168546676636,0.00014682780602015555,0.9330400824546814
colon_0330-supine.mha,19,234.69342041015625,100.0,1,22.89104652404785,144.8079376220703,1.7941168546676636,1.668684376454621e-06,0.9330400824546814
colon_0330-supine.mha,20,222.4982147216797,100.0,4,22.89104652404785,140.25038146972656,1.7941168546676636,6.6747206801665016e-06,0.9330400824546814
colon_0330-supine.mha,21,213.63369750976562,91.66666666666666,12,22.89104652404785,133.11117553710938,1.7941168546676636,1.8355360225541517e-05,0.9330400824546814
colon_0475-supine.mha,1,1.4142135381698608,92.51211730560097,1249659,1.4142135381698608,0.646374523639679,0.6473283767700195,0.9610108733177185,0.9609889388084412
colon_0475-supine.mha,2,232.9542694091797,0.0,1,1.4142135381698608,153.9884033203125,0.6473283767700195,0.0,0.9609889388084412
