Filename,Component,Volume,Centerline Length
187_pos-prone_colon_segmentation_v2.mha,1,1478036.5625000005,7497
187_pos-supine_colon_segmentation_v2.mha,1,1072145.3437882876,9954
191_pos-prone_colon_segmentation_v2.mha,1,3393705.68359375,13196
193_pos-prone_colon_segmentation_v2.mha,1,2418850.2697753906,21054
193_pos-supine_colon_segmentation_v2.mha,1,2290865.810546875,9304
200_pos-prone_colon_segmentation_v2.mha,1,1711391.1840820312,13058
216_pos-supine_colon_segmentation_v2.mha,1,552145.1939291587,1674
216_pos-supine_colon_segmentation_v2.mha,2,1326006.927311526,1415
227_pos-prone_colon_segmentation_v2.mha,1,1331645.9655761712,9234
227_pos-prone_colon_segmentation_v2.mha,2,112.91503906249991,8
227_pos-prone_colon_segmentation_v2.mha,3,177.7648925781249,3
229_pos-prone_colon_segmentation_v2.mha,1,1238344.23828125,8395
229_pos-supine_colon_segmentation_v2.mha,1,1040140.625,6965
234_pos-supine_colon_segmentation_v2.mha,1,25211.9140625,656
234_pos-supine_colon_segmentation_v2.mha,2,984575.68359375,4937
241_pos-prone_colon_segmentation_v2.mha,1,1998181.0737966336,22135
247_pos-prone_colon_segmentation_v2.mha,1,3332848.14453125,15879
247_pos-supine_colon_segmentation_v2.mha,1,3498475.09765625,10962
249_pos-prone_colon_segmentation_v2.mha,1,2575757.32421875,18150
249_pos-supine_colon_segmentation_v2.mha,1,332124.51171875,1703
249_pos-supine_colon_segmentation_v2.mha,2,2250745.1171875,6216
249_pos-supine_colon_segmentation_v2.mha,3,8574.21875,24
249_pos-supine_colon_segmentation_v2.mha,4,8931.15234375,32
251_pos-supine_colon_segmentation_v2.mha,1,224380.86047923635,4707
251_pos-supine_colon_segmentation_v2.mha,2,1005364.7510414104,12180
252_pos-prone_colon_segmentation_v2.mha,1,2074679.969398452,18109
252_pos-prone_colon_segmentation_v2.mha,2,257.8234062954836,43
252_pos-prone_colon_segmentation_v2.mha,3,236.61307122547123,32
252_pos-supine_colon_segmentation_v2.mha,1,2082044.2490598904,16200
257_pos-supine_colon_segmentation_v2.mha,1,2224902.600000001,20021
262_pos-prone_colon_segmentation_v2.mha,1,2942015.144348146,25364
267_pos-prone_colon_segmentation_v2.mha,1,1703308.10546875,6145
275_pos-prone_colon_segmentation_v2.mha,1,1462455.7037834586,12894
275_pos-supine_colon_segmentation_v2.mha,1,1576164.0938019515,12701
277_pos-supine_colon_segmentation_v2.mha,1,254613.10668914104,7667
277_pos-supine_colon_segmentation_v2.mha,2,147.60691360587978,2
277_pos-supine_colon_segmentation_v2.mha,3,108.15223544078611,1
277_pos-supine_colon_segmentation_v2.mha,4,502285.4392300156,4836
278_pos-prone_colon_segmentation_v2.mha,1,371942.51307297655,7093
278_pos-prone_colon_segmentation_v2.mha,2,127264.27135415276,639
278_pos-prone_colon_segmentation_v2.mha,3,308.9901557385249,13
278_pos-prone_colon_segmentation_v2.mha,4,103707.01446837884,429
278_pos-prone_colon_segmentation_v2.mha,5,49234.720296973406,431
278_pos-prone_colon_segmentation_v2.mha,6,3823.848544596264,79
278_pos-prone_colon_segmentation_v2.mha,7,47148.08307241818,611
281_pos-prone_colon_segmentation_v2.mha,1,1170016.6747192384,14836
285_pos-prone_colon_segmentation_v2.mha,1,1224390.191481962,14207
285_pos-supine_colon_segmentation_v2.mha,1,1318534.6070442386,15320
291_pos-prone_colon_segmentation_v2.mha,1,1471981.674194335,6908
295_pos-prone_colon_segmentation_v2.mha,1,1117659.4372558594,4206
295_pos-prone_colon_segmentation_v2.mha,2,788395.4443359375,12198
299_pos-prone_colon_segmentation_v2.mha,1,1506519.9173828124,7441
299_pos-supine_colon_segmentation_v2.mha,1,1660858.5570312508,4531
311_pos-supine_colon_segmentation_v2.mha,1,163315.43790807528,919
311_pos-supine_colon_segmentation_v2.mha,2,816615.7637610681,2594
311_pos-supine_colon_segmentation_v2.mha,3,17703.125891096894,75
311_pos-supine_colon_segmentation_v2.mha,4,17889.64933798566,92
313_pos-prone_colon_segmentation_v2.mha,1,2118123.605176862,12254
316_pos-prone_colon_segmentation_v2.mha,1,1650166.9921875,10608
