Filename,Component,Volume,Centerline Length
sub183_pos-supine_scan-1.mha,1,1834213.0,52544
sub191_pos-supine_scan-1.mha,1,2509473.0,61762
sub192_pos-prone_scan-1.mha,1,1977627.0,29338
sub192_pos-supine_scan-1.mha,1,1777455.0,73705
sub197_pos-prone_scan-1.mha,1,1666044.0,8428
sub198_pos-supine_scan-1.mha,1,2414575.0,4495
sub198_pos-prone_scan-1.mha,1,112.0,61
sub198_pos-prone_scan-1.mha,2,2463203.0,5371
sub200_pos-supine_scan-1.mha,1,1541662.0,6942
sub202_pos-supine_scan-1.mha,1,1457013.0,10935
sub202_pos-supine_scan-1.mha,2,121.0,0
sub202_pos-prone_scan-1.mha,1,1724948.0,15519
sub207_pos-supine_scan-1.mha,1,1263294.0,27499
sub207_pos-supine_scan-1.mha,2,166.0,2
sub208_pos-prone_scan-1.mha,1,1243340.0,69859
sub208_pos-supine_scan-1.mha,1,127250.0,23566
sub208_pos-supine_scan-1.mha,2,1050666.0,27326
sub209_pos-supine_scan-1.mha,1,1522288.0,68775
sub213_pos-supine_scan-1.mha,1,3542841.0,5944
sub214_pos-supine_scan-1.mha,1,2514403.0,173356
sub215_pos-prone_scan-1.mha,1,949177.0,27073
sub217_pos-supine_scan-1.mha,1,1742265.0,46549
sub217_pos-prone_scan-1.mha,1,1500438.0,32764
sub218_pos-supine_scan-1.mha,1,1924673.0,11167
sub218_pos-prone_scan-1.mha,1,1779547.0,16561
sub220_pos-prone_scan-1.mha,1,1909455.0,12980
sub220_pos-prone_scan-1.mha,2,455.0,38
sub220_pos-prone_scan-1.mha,3,261.0,36
sub221_pos-prone_scan-1.mha,1,1644097.0,27759
sub221_pos-supine_scan-1.mha,1,1774833.0,48303
sub223_pos-prone_scan-1.mha,1,1632574.0,10253
sub228_pos-prone_scan-1.mha,1,2442906.0,8577
sub231_pos-supine_scan-1.mha,1,343983.0,24315
sub231_pos-supine_scan-1.mha,2,961108.0,5041
sub235_pos-prone_scan-1.mha,1,1758393.0,5036
sub235_pos-supine_scan-1.mha,1,1764778.0,2286
sub239_pos-prone_scan-1.mha,1,1160093.0,4708
sub245_pos-prone_scan-1.mha,1,1603303.0,1486
sub245_pos-supine_scan-1.mha,1,1894127.0,1695
sub246_pos-supine_scan-1.mha,1,1779434.0,7305
sub250_pos-prone_scan-1.mha,1,2098193.0,93744
sub257_pos-prone_scan-1.mha,1,1796129.0,38755
sub257_pos-prone_scan-1.mha,2,142.0,5
